specimen_id,longitude,latitude
C_humbertii_RNF785,43.7975,-22.875
C_boinensis,46.801111,-16.319444
C_bissetiae,46.805278,-16.328889
C_bissetiae,46.432222,-15.588889
C_bissetiae,46.801111,-16.319444
C_labatii_APD3096,44.700833,-18.689444
C_liaudii_A1013,48.276667,-18.866389
C_richardii_A575,50.041667,-14.101389
C_perrieri_A12,46.333889,-24.560833
C_perrieri_A12,46.333889,-24.560833
C_perrieri_A12,46.333889,-24.560833
C_resinosa_A8,47.701944,-23.175278
C_resinosa_A8,47.701944,-23.175278
C_resinosa_A8,47.757778,-23.083889
C_humbertii_RNF785,43.610638,-23.078725
C_mcphersonii_A977,49.7,-13.183333
C_richardii_A575,50.0,-14.1
C_perrieri_A12,45.993359,-17.044592
C_tsirananae_A515,49.353056,-12.373611
C_liaudii_A1013,48.27139,-18.85944
C_perrieri_A12,44.272222,-22.853611
C_bissetiae,47.590008,-15.407416
C_abbayesii_A601,47.166111,-24.796389
C_abbayesii_A601,47.136111,-24.842778
C_bissetiae,47.504282,-15.403732
C_bissetiae,47.549289,-15.487327
C_pervilleana_A957,44.28417,-17.54361
C_pervilleana_A957,44.30139,-18.01528
C_boiviniana_A980,44.27417,-18.00056
C_pervilleana_A957,44.31583,-18.03361
C_tetragona_A252,44.32444,-18.03583
C_tetragona_A252,44.31583,-18.03361
C_pervilleana_A957,44.31583,-18.03361
C_kianjavatensis_A602,47.85861,-21.38028
C_boiviniana_A980,44.27417,-18.00056
C_boiviniana_A980,44.27417,-18.00056
C_perrieri_A12,46.015711,-17.117819
C_perrieri_A12,46.015693,-17.117573
C_pervilleana_A957,45.920397,-17.077081
C_pervilleana_A957,45.923007,-17.07882
C_humbertii_RNF785,44.583333,-22.916667
C_boiviniana_A980,49.353747,-12.336711
C_humbertii_RNF785,43.625805,-23.250722
C_humbertii_RNF785,43.625805,-23.250722
C_humbertii_RNF785,44.690055,-22.888583
C_humbertii_RNF785,44.1366,-23.5318
C_humbertii_RNF785,44.1366,-23.5318
C_perrieri_A12,44.272222,-22.853611
C_ratsimamangae_A528,49.355,-12.343889
C_millotii_A222,49.786667,-16.4525
C_tsirananae_A515,49.35305,-12.37361
C_millotii_A222,48.556111,-19.158611
C_leroyi_A315,49.28583,-14.33666
C_dubardii_A969,49.1725,-12.487778
C_dubardii_A969,49.218333,-12.578889
C_perrieri_A12,44.561944,-18.111389
C_richardii_A575,49.308889,-17.956667
C_liaudii_A1013,48.271945,-18.860556
C_millotii_A222,48.31888,-18.86944
C_millotii_A222,48.2925,-18.86611
C_heimii_A516,49.35305,-12.37361
C_leroyi_A315,49.301389,-14.325556
C_resinosa_A8,47.700278,-23.178611
C_boiviniana_A980,49.554167,-13.208889
C_resinosa_A8,49.70611,-16.76055
C_resinosa_A8,47.724167,-23.170278
C_millotii_A222,49.861111,-14.401111
C_perrieri_A12,44.272222,-22.853611
C_perrieri_A12,44.263056,-22.845833
C_leroyi_A315,50.074722,-14.186667
C_leroyi_A315,48.76777,-17.50694
C_resinosa_A8,49.256667,-18.565556
C_resinosa_A8,49.23388,-18.595
C_tsirananae_A515,49.35305,-12.37361
C_resinosa_A8,49.405833,-17.688889
C_bissetiae,45.8,-16.05
C_richardii_A575,49.45833,-17.70305
C_humbertii_RNF785,43.625806,-23.250722
C_richardii_A575,50.016389,-14.101111
C_tsirananae_A515,49.218611,-12.165556
C_tetragona_A252,48.80222,-13.79638
C_tsirananae_A515,49.218611,-12.165556
C_richardii_A575,49.318056,-17.913889
C_richardii_A575,49.21,-18.006389
C_richardii_A575,49.459444,-17.705556
C_dubardii_A969,49.174722,-12.482778
C_abbayesii_A601,46.45,-24.36666
C_homollei_A945,48.73111,-17.50388
C_richardii_A575,49.340278,-18.057222
C_resinosa_A8,48.554167,-20.3725
C_sakarahae_A304,44.136667,-22.683333
C_richardii_A575,49.2425,-18.040833
C_perrieri_A12,44.145556,-22.707778
C_pervilleana_A957,44.561389,-18.117778
C_perrieri_A12,44.472222,-17.939722
C_boiviniana_A980,49.2875,-12.899444
