,specimen_id,longitude,latitude
1,toshii_1,46.891944,-22.473333
4,humbertii_4,43.7975,-22.875
9,boinensis_9,46.801111,-16.319444
18,bissetiae_18,46.805278,-16.328889
20,bissetiae_20,46.432222,-15.588889
32,bissetiae_32,46.801111,-16.319444
42,commersoniana_42,46.887778,-25.055833
111,commersoniana_111,46.890278,-25.0525
112,commersoniana_112,47.002222,-24.953889
113,commersoniana_113,46.993889,-24.974167
122,labatii_122,44.700833,-18.689444
123,liaudii_123,48.276667,-18.866389
249,toshii_249,48.27694,-18.85
256,richardii_256,50.041667,-14.101389
260,mangoroensis_260,48.469736,-18.945639
261,perrieri_261,46.333889,-24.560833
262,perrieri_262,46.333889,-24.560833
263,perrieri_263,46.333889,-24.560833
264,resinosa_264,47.701944,-23.175278
265,tricalysioides_265,48.964722,-14.203611
266,tricalysioides_266,48.964722,-14.203611
267,tricalysioides_267,48.980556,-14.126389
268,resinosa_268,47.701944,-23.175278
269,resinosa_269,47.757778,-23.083889
270,humbertii_270,43.610638,-23.078725
271,buxifolia_271,47.004722,-20.089166
272,mcphersonii_272,49.7,-13.183333
273,tricalysioides_273,47.703333,-20.308333
274,richardii_274,50.0,-14.1
275,buxifolia_275,47.1925,-20.657222
276,grevei_276,43.572825,-23.04437
277,mangoroensis_277,48.80306,-18.40139
280,perrieri_280,45.993359,-17.044592
283,tsirananae_283,49.353056,-12.373611
284,mangoroensis_284,48.305833,-18.872222
295,mangoroensis_295,48.158056,-19.047778
296,mangoroensis_296,48.42111,-18.93778
297,mangoroensis_297,48.80306,-18.40139
301,mangoroensis_301,48.41917,-18.93722
303,liaudii_303,48.27139,-18.85944
306,mangoroensis_306,48.42833,-18.95056
308,mangoroensis_308,48.29056,-18.85
310,arabica_310,48.253404,-13.825989
311,mangoroensis_311,48.380066,-19.189873
312,coursiana_312,48.553056,-19.164722
313,perrieri_313,44.272222,-22.853611
314,bissetiae_314,47.590008,-15.407416
315,abbayesii_315,47.166111,-24.796389
316,abbayesii_316,47.136111,-24.842778
317,bissetiae_317,47.504282,-15.403732
318,bissetiae_318,47.549289,-15.487327
324,pervilleana_324,44.28417,-17.54361
325,pervilleana_325,44.30139,-18.01528
326,boiviniana_326,44.27417,-18.00056
330,moratii_330,44.31583,-18.03361
344,pervilleana_344,44.31583,-18.03361
345,tetragona_345,44.32444,-18.03583
346,tetragona_346,44.31583,-18.03361
349,pervilleana_349,44.31583,-18.03361
359,kianjavatensis_359,47.85861,-21.38028
395,boiviniana_395,44.27417,-18.00056
421,moratii_421,44.32444,-18.03583
445,boiviniana_445,44.27417,-18.00056
463,perrieri_463,46.015711,-17.117819
492,perrieri_492,46.015693,-17.117573
493,pervilleana_493,45.920397,-17.077081
494,pervilleana_494,45.923007,-17.07882
496,humbertii_496,44.583333,-22.916667
497,buxifolia_497,47.25,-21.25
500,boiviniana_500,49.353747,-12.336711
502,humbertii_502,43.625805,-23.250722
503,humbertii_503,43.625805,-23.250722
504,humbertii_504,44.690055,-22.888583
505,grevei_505,44.676033,-20.076667
506,humbertii_506,44.1366,-23.5318
507,humbertii_507,44.1366,-23.5318
508,tricalysioides_508,48.964203,-14.184007
509,perrieri_509,44.272222,-22.853611
510,ratsimamangae_510,49.355,-12.343889
511,mangoroensis_511,48.28944,-18.84527
514,millotii_514,49.786667,-16.4525
517,tsirananae_517,49.35305,-12.37361
518,grevei_518,44.483333,-20.166667
519,millotii_519,48.556111,-19.158611
520,leroyi_520,49.28583,-14.33666
521,tricalysioides_521,49.43333,-14.23333
522,dubardii_522,49.1725,-12.487778
523,dubardii_523,49.218333,-12.578889
524,perrieri_524,44.561944,-18.111389
526,richardii_526,49.308889,-17.956667
527,liaudii_527,48.271945,-18.860556
530,millotii_530,48.31888,-18.86944
531,buxifolia_531,46.44583,-23.42
532,millotii_532,48.2925,-18.86611
533,heimii_533,49.35305,-12.37361
534,rupicola_534,49.55,-13.22
535,leroyi_535,49.301389,-14.325556
536,resinosa_536,47.700278,-23.178611
537,boiviniana_537,49.554167,-13.208889
