specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,genus_species,year,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42,layer_43,layer_44,layer_45,layer_46,layer_47,layer_48,layer_49,layer_50,layer_51,layer_52,layer_53,layer_54,layer_55,layer_56,layer_57,layer_58,layer_59,layer_60,layer_61,layer_62,layer_63,layer_64,layer_65,layer_66,layer_67,layer_68,layer_69,layer_70,layer_71,layer_72,layer_73,layer_74,layer_79,layer_75_Alluvial_&_Lake_deposits,layer_75_Basement_Rocks_(Ign_&_Met),layer_75_Lavas_(including_Basalts_&_Gabbros),layer_75_Mangrove_Swamp,layer_75_Marble_(Cipolin),"layer_75_Mesozoic_Limestones_+_Marls_(inc._""Tsingy"")",layer_75_Quartzites,layer_75_Sandstones,layer_75_Tertiary_Limestones_+_Marls_&_Chalks,layer_75_Ultrabasics,layer_75_Unconsolidated_Sands,layer_75__nodata,layer_76_Alluvio-colluvial_Deposited_Soils,layer_76_Andosols,layer_76_Bare_Rocks,layer_76_Fluvio-marine_Deposited_Soils_-_Mangroves,"layer_76_Highly_Rejuvenated,_Penevoluted_Ferralitic_Soils",layer_76_Humic_Ferralitic_Soils,layer_76_Humic_Rejuvenated_Ferralitic_Soils,layer_76_Hydromorphic_Soils,layer_76_Indurated-Concretion_Ferralitic_Soils,layer_76_Podzolic_Soils_and_Podzols,"layer_76_Poorly_Evolved_Erosion_Soils,_Lithosols",layer_76_Raw_Lithic_Mineral_Soils,layer_76_Red_Ferruginous_Soils,layer_76_Red_Fersiallitic_Soils,layer_76_Rejuvenated_Ferralitic_Soils_with_Degrading_Structure,layer_76_Rejuvenated_Ferralitic_Soils_with_Little_Degrading_Structure,layer_76_Salty_Deposited_Soils,layer_76_Skeletal_Shallow_Eroded_Ferruginous_Soils,layer_76_Typical_Reddish-brown_Ferralitic_Soils_with_Little_Degrading_Structure,layer_76_Vertisols,layer_76_Wind-deposited_Soils,layer_76_Yellow-red_Ferruginous_Soils_(Red_Sands),layer_76_Yellow_Fersiallitic_Soils,layer_76__nodata,layer_77_VegCat_01,layer_77_VegCat_02,layer_77_VegCat_03,layer_77_VegCat_04,layer_77_VegCat_05,layer_77_VegCat_06,layer_77_VegCat_07,layer_77_VegCat_09,layer_77_VegCat_10,layer_77_VegCat_11,layer_77_VegCat_12,layer_77_VegCat_13,layer_77_VegCat_14,layer_77_VegCat_15,layer_77_VegCat_16,layer_77_VegCat_18,layer_77_VegCat_19,layer_77_VegCat_22,layer_77_VegCat_23,layer_77_VegCat_25,layer_77__nodata,layer_78_CoE_E-Betsiboka_S-Maevarano,layer_78_CoE_N-Bemarivo,layer_78_CoE_N-Maevarano_S-Sambirano,layer_78_CoE_N-Mahavavy,layer_78_CoE_N-Mangoky_S-Tsiribihina,layer_78_CoE_N-Sambirano_W-Mahavavy,layer_78_CoE_N-Tsiribihina_W-Betsiboka,layer_78_CoE_S-Bemarivo_N-Mangoro,layer_78_CoE_S-Manampatrana_N-Mananara,layer_78_CoE_S-Mananara,layer_78_CoE_S-Mangoky,layer_78_CoE_S-Mangoro_N-Manampatrana,layer_78_RetDisp_Antainambalana,layer_78_RetDisp_Bemarivo,layer_78_RetDisp_Betsiboka,layer_78_RetDisp_Maevarana_(1/2_N),layer_78_RetDisp_Mahavavy,layer_78_RetDisp_Manampatrana,layer_78_RetDisp_Mananara_du_Sud,layer_78_RetDisp_Mandrare,layer_78_RetDisp_Mangoky,layer_78_RetDisp_Mangoro,layer_78_RetDisp_Onilahy,layer_78_RetDisp_Sambirano,layer_78_RetDisp_Tsiribihina,layer_78__nodata
heimii_14672,4326,49.263119,-12.279828,POINT (963987.2160799548 8638826.905155072),79,8,True,Coffea heimii,2020.0,220.0,238.0,239.0,236.0,230.0,215.0,205.0,204.0,210.0,231.0,238.0,238.0,300.0,316.0,311.0,311.0,312.0,295.0,289.0,289.0,290.0,310.0,322.0,310.0,16.0,292.0,177.0,57.0,15.0,22.0,20.0,20.0,11.0,48.0,163.0,324.0,264.0,79.0,67.0,1244.0,322.0,204.0,118.0,270.0,247.0,275.0,247.0,1165.0,324.0,11.0,116.0,632.0,51.0,526.0,51.0,131.0,166.0,158.0,151.0,142.0,110.0,96.0,95.0,102.0,141.0,165.0,157.0,1620.0,766.0,9.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
heimii_16490,4326,49.347115,-12.210881,POINT (973268.3172334379 8646324.57726909),79,78,True,Coffea heimii,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
heimii_16893,4326,49.303872,-12.318289,POINT (968361.9252714938 8634492.083777336),79,0,True,Coffea heimii,2020.0,223.0,240.0,240.0,238.0,232.0,216.0,206.0,206.0,212.0,234.0,240.0,240.0,303.0,317.0,312.0,313.0,314.0,297.0,291.0,291.0,292.0,313.0,324.0,312.0,17.0,290.0,176.0,57.0,15.0,23.0,21.0,20.0,11.0,49.0,165.0,322.0,266.0,79.0,67.0,1245.0,324.0,206.0,118.0,272.0,249.0,277.0,249.0,1166.0,322.0,11.0,115.0,629.0,52.0,536.0,52.0,136.0,169.0,160.0,155.0,146.0,112.0,97.0,97.0,104.0,147.0,170.0,161.0,1661.0,792.0,9.0,71.0,6.0,85.0,7863.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heimii_16895,4326,49.226443,-12.281807,POINT (959985.3753017825 8638670.640734412),79,78,True,Coffea heimii,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
heimii_17832,4326,49.3425,-12.396327,POINT (972432.2872414208 8625771.941739332),79,0,True,Coffea heimii,2019.0,209.0,229.0,229.0,227.0,219.0,202.0,194.0,193.0,199.0,222.0,229.0,229.0,296.0,310.0,306.0,307.0,305.0,291.0,282.0,282.0,285.0,306.0,315.0,305.0,18.0,290.0,185.0,67.0,16.0,22.0,24.0,21.0,12.0,52.0,180.0,324.0,257.0,84.0,68.0,1301.0,315.0,193.0,122.0,263.0,239.0,268.0,239.0,1211.0,324.0,12.0,111.0,632.0,57.0,542.0,57.0,120.0,150.0,144.0,139.0,127.0,100.0,87.0,86.0,93.0,130.0,149.0,143.0,1475.0,654.0,8.0,141.0,7.0,246.0,7788.0,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heimii_17834,4326,49.2757,-12.398991,POINT (965147.7496670873 8625594.36152296),79,0,True,Coffea heimii,2019.0,208.0,228.0,228.0,225.0,216.0,200.0,192.0,192.0,197.0,220.0,226.0,228.0,296.0,308.0,305.0,305.0,304.0,290.0,281.0,281.0,285.0,306.0,313.0,304.0,18.0,297.0,191.0,68.0,14.0,21.0,23.0,20.0,11.0,52.0,181.0,332.0,255.0,84.0,70.0,1280.0,313.0,192.0,121.0,262.0,238.0,266.0,238.0,1228.0,332.0,11.0,113.0,647.0,54.0,556.0,54.0,120.0,148.0,142.0,136.0,124.0,98.0,85.0,85.0,93.0,129.0,144.0,142.0,1451.0,646.0,8.0,184.0,3.0,313.0,7969.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heimii_19479,4326,49.569592,-12.454103,POINT (997074.80834441 8618950.269213684),79,7,True,Coffea heimii,2019.0,219.0,239.0,237.0,236.0,227.0,211.0,204.0,204.0,209.0,232.0,238.0,239.0,303.0,317.0,312.0,313.0,312.0,299.0,290.0,290.0,293.0,314.0,321.0,312.0,25.0,257.0,169.0,82.0,27.0,31.0,33.0,32.0,20.0,56.0,184.0,292.0,265.0,81.0,69.0,1247.0,321.0,204.0,117.0,271.0,248.0,276.0,248.0,1208.0,292.0,20.0,96.0,574.0,85.0,532.0,85.0,133.0,168.0,157.0,153.0,139.0,110.0,96.0,95.0,103.0,146.0,164.0,160.0,1631.0,673.0,8.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
heimii_19555,4326,49.549809,-12.580463,POINT (994676.992488631 8604973.911008792),79,0,True,Coffea heimii,2019.0,218.0,238.0,237.0,235.0,225.0,207.0,200.0,201.0,207.0,231.0,237.0,237.0,306.0,316.0,313.0,315.0,313.0,300.0,289.0,291.0,295.0,315.0,321.0,312.0,27.0,265.0,177.0,92.0,29.0,31.0,34.0,33.0,21.0,61.0,197.0,299.0,264.0,84.0,69.0,1289.0,321.0,200.0,121.0,271.0,247.0,275.0,247.0,1266.0,299.0,21.0,95.0,591.0,88.0,534.0,88.0,135.0,166.0,159.0,154.0,138.0,108.0,92.0,94.0,103.0,146.0,163.0,158.0,1622.0,647.0,8.0,4.0,1.0,250.0,7880.0,64.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humbertii_7021,4326,43.610638,-23.078725,POINT (357689.0386163351 7447088.901125943),79,1,True,Coffea humbertii,2024.0,177.0,220.0,208.0,182.0,154.0,141.0,131.0,138.0,153.0,202.0,215.0,222.0,305.0,327.0,326.0,322.0,300.0,279.0,272.0,280.0,293.0,317.0,327.0,334.0,16.0,94.0,41.0,11.0,15.0,9.0,3.0,4.0,8.0,35.0,64.0,88.0,242.0,128.0,63.0,2778.0,334.0,131.0,203.0,264.0,211.0,269.0,206.0,388.0,94.0,3.0,98.0,198.0,15.0,187.0,16.0,113.0,166.0,149.0,119.0,81.0,61.0,51.0,57.0,73.0,123.0,149.0,169.0,1317.0,929.0,12.0,28.0,2.0,259.0,7354.0,98.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humbertii J.-F.Leroy_8949,4326,44.1366,-23.5318,POINT (411865.5851767542 7397342.999132204),79,0,True,Coffea humbertii J.-F.Leroy,2020.0,179.0,218.0,207.0,182.0,150.0,134.0,124.0,130.0,152.0,201.0,215.0,221.0,334.0,335.0,338.0,332.0,313.0,289.0,279.0,289.0,310.0,339.0,342.0,344.0,17.0,93.0,49.0,16.0,12.0,11.0,4.0,4.0,9.0,48.0,104.0,124.0,248.0,144.0,65.0,2970.0,344.0,124.0,220.0,277.0,214.0,277.0,207.0,491.0,124.0,4.0,102.0,276.0,17.0,276.0,19.0,136.0,173.0,159.0,125.0,85.0,60.0,49.0,55.0,79.0,139.0,163.0,180.0,1408.0,917.0,12.0,94.0,5.0,354.0,7585.0,74.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
