specimen_id,longitude,latitude,caffeine_percent
C_perrieri_A12,46.333889,-24.560833,0.0
C_perrieri_A12,46.333889,-24.560833,0.0
C_perrieri_A12,46.333889,-24.560833,0.0
C_humbertii_RNF785,43.610638,-23.078725,0.0
C_perrieri_A12,45.993359,-17.044592,0.0
C_perrieri_A12,44.272222,-22.853611,0.0
C_perrieri_A12,46.015711,-17.117819,0.0
C_perrieri_A12,46.015693,-17.117573,0.0
C_pervilleana_A957,45.920397,-17.077081,0.0
C_pervilleana_A957,45.923007,-17.07882,0.0
C_humbertii_RNF785,44.1366,-23.5318,0.0
C_humbertii_RNF785,44.1366,-23.5318,0.0
C_perrieri_A12,44.272222,-22.853611,0.0
C_perrieri_A12,44.272222,-22.853611,0.0
C_perrieri_A12,44.263056,-22.845833,0.0
C_leroyi_A315,50.074722,-14.186667,0.02
C_resinosa_A8,49.405833,-17.688889,0.0
C_richardii_A575,50.016389,-14.101111,0.03
C_richardii_A575,49.459444,-17.705556,0.03
C_perrieri_A12,44.272222,-22.853611,0.0
C_perrieri_A12,44.263056,-22.845833,0.0
C_perrieri_A12,46.145833,-24.303611,0.0
C_perrieri_A12,45.365556,-21.188611,0.0
C_perrieri_A12,44.263056,-22.845833,0.0
C_perrieri_A12,46.145833,-24.303611,0.0
C_richardii_A575,49.459444,-17.705556,0.03
C_leroyi_A315,50.074722,-14.186667,0.02
C_resinosa_A8,49.405833,-17.688889,0.0
C_richardii_A575,50.016389,-14.101111,0.03
C_mauritiana_Makes4,55.417,-20.915,0.035
C_perrieri_A12,46.145833,-24.303611,0.0
C_perrieri_A12,45.365556,-21.188611,0.0
C_leroyi_A315,50.074722,-14.186667,0.02
C_perrieri_A12,45.989986,-17.052635,0.0
C_perrieri_A12,45.985053,-17.067958,0.0
C_mauritiana_Makes4,55.51716,-21.29231,0.035
C_mauritiana_Makes4,55.51787,-21.29007,0.035
C_mauritiana_Makes4,55.47191,-21.14684,0.035
C_mauritiana_Makes4,55.47153,-21.14686,0.035
C_mauritiana_Makes4,55.47279,-21.14879,0.035
C_tsirananae_A515,49.371244,-12.226533,0.0
C_heimii_A516,49.263119,-12.279828,0.0
C_perrieri_A12,45.989,-17.06269,0.0
C_heimii_A516,49.347115,-12.210881,0.0
C_tsirananae_A515,49.251716,-12.382886,0.0
C_tsirananae_A515,49.266346,-12.314212,0.0
C_tsirananae_A515,49.355849,-12.251702,0.0
C_heimii_A516,49.303872,-12.318289,0.0
C_tsirananae_A515,49.281018,-12.403209,0.0
C_heimii_A516,49.226443,-12.281807,0.0
C_tsirananae_A515,49.297935,-12.30587,0.0
C_tsirananae_A515,49.219958,-12.50737,0.0
C_resinosa_A8,49.405833,-17.688889,0.0
C_perrieri_A12,47.781762,-14.79531,0.0
C_richardii_A575,50.016389,-14.101111,0.03
C_tsirananae_A515,49.340235,-12.302029,0.0
C_tsirananae_A515,49.322727,-12.338667,0.0
C_heimii_A516,49.3425,-12.396327,0.0
C_heimii_A516,49.2757,-12.398991,0.0
C_tsirananae_A515,49.322106,-12.239535,0.0
C_heimii_A516,49.569592,-12.454103,0.0
C_heimii_A516,49.549809,-12.580463,0.0
C_richardii_A575,49.459444,-17.705556,0.03
